county,state_code,state,tax_burden,medianage,cost_of_living_rank,elementary_school_rating,middle_school_rating,high_school_rating,daily_cases,percentage_fully_vaccinated,risk_index,risk
Abbeville County,SC,South Carolina,7.45,39.0,40.0,2,5,6,6642.0,40.0,2.0,High
Ada County,ID,Idaho,7.88,36.0,36.0,3,6,7,133929.0,64.1,1.0,Medium
Adair County,IA,Iowa,9.26,38.0,13.0,6,6,7,1583.0,49.3,0.0,Low
Adair County,OK,Oklahoma,7.13,37.0,44.0,8,6,5,7952.0,36.4,2.0,High
Adams County,CO,Colorado,8.31,37.0,26.0,3,3,2,134711.0,68.10000000000001,2.0,High
Adams County,ID,Idaho,7.88,36.0,36.0,1,2,3,700.0,43.9,1.0,Medium
Adams County,MS,Mississippi,8.99,38.0,15.0,2,3,8,7150.0,54.800000000000004,2.0,High
Adams County,OH,Ohio,8.96,39.0,16.0,3,1,10,6971.0,34.9,1.0,Medium
Adams County,PA,Pennsylvania,8.46,41.0,23.0,8,5,7,24804.0,50.6,1.0,Medium
Adams County,WA,Washington,8.34,38.0,24.0,5,5,6,4913.0,60.0,1.0,Medium
Adams County,WI,Wisconsin,8.89,40.0,17.0,10,2,3,4642.0,56.699999999999996,2.0,High
Addison County,VT,Vermont,10.75,43.0,3.0,10,5,1,5653.0,81.39999999999999,3.0,Critical
Aiken County,SC,South Carolina,7.45,39.0,40.0,1,3,3,41465.0,45.6,0.0,Low
Aitkin County,MN,Minnesota,9.99,38.0,6.0,3,7,9,2955.0,58.8,2.0,High
Alachua County,FL,Florida,6.97,42.0,45.0,6,2,10,68108.0,66.2,1.0,Medium
Alamance County,NC,North Carolina,8.07,39.0,34.0,3,7,5,46771.0,59.3,1.0,Medium
Alameda County,CA,California,9.48,37.0,10.0,1,3,4,272274.0,81.39999999999999,2.0,High
Alamosa County,CO,Colorado,8.31,37.0,26.0,4,10,6,4508.0,56.3,1.0,Medium
Albany County,NY,New York,12.79,39.0,1.0,3,8,8,59804.0,74.5,3.0,Critical
Alcorn County,MS,Mississippi,8.99,38.0,15.0,4,10,8,10044.0,39.0,1.0,Medium
Alexander County,NC,North Carolina,8.07,39.0,34.0,5,6,10,10420.0,44.2,1.0,Medium
Alexandria,VA,Virginia,7.86,38.0,37.0,9,7,6,,,,
Allegan County,MI,Michigan,8.34,40.0,24.0,1,5,3,27094.0,52.1,1.0,Medium
Allegany County,MD,Maryland,9.32,39.0,12.0,3,5,8,17141.0,55.400000000000006,1.0,Medium
Allegany County,NY,New York,12.79,39.0,1.0,5,4,5,8972.0,44.3,1.0,Medium
Alleghany County,NC,North Carolina,8.07,39.0,34.0,9,7,2,2949.0,58.4,1.0,Medium
Allegheny County,PA,Pennsylvania,8.46,41.0,23.0,3,5,3,264711.0,68.0,2.0,High
Allen County,OH,Ohio,8.96,39.0,16.0,10,2,2,27449.0,43.6,1.0,Medium
Allendale County,SC,South Carolina,7.45,39.0,40.0,7,4,2,2080.0,58.3,1.0,Medium
Alpine County,CA,California,9.48,37.0,10.0,8,9,2,125.0,63.5,0.0,Low
Amador County,CA,California,9.48,37.0,10.0,6,2,3,9136.0,52.300000000000004,0.0,Low
Amelia County,VA,Virginia,7.86,38.0,37.0,9,6,10,2637.0,53.2,2.0,High
Amite County,MS,Mississippi,8.99,38.0,15.0,9,10,9,3252.0,40.0,1.0,Medium
Anchorage Borough,AK,Alaska,5.1,34.0,50.0,4,3,4,,,,
Anderson County,KY,Kentucky,8.58,39.0,22.0,10,3,5,6576.0,55.300000000000004,2.0,High
Anderson County,SC,South Carolina,7.45,39.0,40.0,4,4,6,57741.0,40.400000000000006,0.0,Low
Anderson County,TN,Tennessee,5.74,39.0,49.0,6,7,2,22077.0,55.800000000000004,0.0,Low
Anderson County,TX,Texas,8.19,35.0,30.0,5,7,4,8483.0,39.6,0.0,Low
Andrew County,MO,Missouri,7.75,39.0,39.0,3,1,4,4758.0,38.1,4.0,Unknown
Androscoggin County,ME,Maine,10.5,45.0,4.0,7,9,8,22554.0,66.8,2.0,High
Angelina County,TX,Texas,8.19,35.0,30.0,5,7,9,15415.0,47.0,1.0,Medium
Anne Arundel County,MD,Maryland,9.32,39.0,12.0,9,10,2,89835.0,76.7,2.0,High
Anoka County,MN,Minnesota,9.99,38.0,6.0,5,9,2,98593.0,59.3,2.0,High
Anson County,NC,North Carolina,8.07,39.0,34.0,5,5,9,6532.0,46.800000000000004,0.0,Low
Appling County,GA,Georgia,7.91,37.0,35.0,8,2,5,4777.0,35.8,2.0,High
Aransas County,TX,Texas,8.19,35.0,30.0,9,2,8,4100.0,57.099999999999994,1.0,Medium
Arapahoe County,CO,Colorado,8.31,37.0,26.0,10,1,10,153900.0,68.10000000000001,2.0,High
Archer County,TX,Texas,8.19,35.0,30.0,5,4,5,2156.0,60.5,1.0,Medium
Arkansas County,AR,Arkansas,8.8,38.0,20.0,7,9,10,5682.0,55.800000000000004,1.0,Medium
Arlington County,VA,Virginia,7.86,38.0,37.0,3,3,4,42605.0,86.6,3.0,Critical
Armstrong County,PA,Pennsylvania,8.46,41.0,23.0,8,9,2,15270.0,59.4,1.0,Medium
Aroostook County,ME,Maine,10.5,45.0,4.0,2,6,1,13009.0,68.10000000000001,3.0,Critical
Ascension Parish,LA,Louisiana,8.82,37.0,19.0,4,4,3,34825.0,50.9,1.0,Medium
Ashe County,NC,North Carolina,8.07,39.0,34.0,8,10,4,6380.0,54.50000000000001,1.0,Medium
Ashland County,OH,Ohio,8.96,39.0,16.0,6,1,6,11967.0,43.2,1.0,Medium
