period_end,county,state,state_code,median_ppsf,tax_burden,medianage,cost_of_living_rank,elementary_school_rating,middle_school_rating,high_school_rating,daily_cases,percentage_fully_vaccinated,risk_index,risk
2013-03-31,Itawamba County,Mississippi,MS,46.081277213352685,8.99,38.0,15.0,8,1,7,7416.0,34.7,2.0,High
2015-12-31,Noxubee County,Mississippi,MS,24.549444444444443,8.99,38.0,15.0,10,3,4,2719.0,55.2,0.0,Low
2015-12-31,Clinch County,Georgia,GA,51.96647324306899,7.91,37.0,35.0,1,5,8,2122.0,39.900000000000006,1.0,Medium
2016-08-31,Amite County,Mississippi,MS,27.9383429672447,8.99,38.0,15.0,9,10,9,3252.0,40.0,1.0,Medium
2016-12-31,Chaves County,New Mexico,NM,177.8846153846154,8.19,38.0,30.0,5,6,5,21710.0,40.5,0.0,Low
2017-08-31,Foard County,Texas,TX,1250.0,8.19,35.0,30.0,4,5,2,203.0,44.0,2.0,High
2017-10-31,Miller County,Georgia,GA,54.24407404988899,7.91,37.0,35.0,6,7,6,1721.0,54.2,1.0,Medium
2018-04-30,Issaquena County,Mississippi,MS,95.83333333333331,8.99,38.0,15.0,9,5,8,262.0,40.2,1.0,Medium
2018-08-31,Jefferson County,Mississippi,MS,536.5736284889317,8.99,38.0,15.0,1,4,2,1479.0,71.0,2.0,High
2019-03-31,Baker County,Georgia,GA,17.75917859365277,7.91,37.0,35.0,1,3,10,536.0,51.7,1.0,Medium
2019-05-31,Echols County,Georgia,GA,36.40625,7.91,37.0,35.0,7,1,3,936.0,31.1,1.0,Medium
2019-06-30,Randolph County,Georgia,GA,50.05753739930955,7.91,37.0,35.0,6,10,6,1485.0,46.3,1.0,Medium
2020-03-31,Webster County,Georgia,GA,83.54497354497353,7.91,37.0,35.0,1,4,5,437.0,44.0,1.0,Medium
2020-11-30,Schleicher County,Texas,TX,666.6666666666665,8.19,35.0,30.0,3,1,9,525.0,42.5,2.0,High
2021-04-30,Cotton County,Oklahoma,OK,36.15105132962276,7.13,37.0,44.0,1,5,5,1454.0,50.0,2.0,High
2021-05-31,Harper County,Oklahoma,OK,56.66666666666666,7.13,37.0,44.0,7,4,2,705.0,45.1,0.0,Low
2021-05-31,Coke County,Texas,TX,78.76495726495726,8.19,35.0,30.0,8,5,10,839.0,46.7,1.0,Medium
2021-06-30,Major County,Oklahoma,OK,81.79959100204499,7.13,37.0,44.0,4,1,5,2464.0,50.0,0.0,Low
2021-06-30,Beaver County,Oklahoma,OK,182.1026282853567,7.13,37.0,44.0,5,10,1,967.0,31.1,1.0,Medium
2021-07-31,Woods County,Oklahoma,OK,49.47916666666666,7.13,37.0,44.0,6,9,8,2354.0,41.5,0.0,Low
2021-07-31,Ellis County,Oklahoma,OK,26.455026455026456,7.13,37.0,44.0,1,6,4,773.0,35.0,1.0,Medium
2021-07-31,Kimble County,Texas,TX,236.1918604651163,8.19,35.0,30.0,3,1,4,688.0,43.0,1.0,Medium
2021-07-31,Marion County,Texas,TX,54.54545454545456,8.19,35.0,30.0,1,6,7,1687.0,42.0,2.0,High
2021-08-31,Shelby County,Texas,TX,118.3927804039536,8.19,35.0,30.0,5,10,1,4462.0,36.2,1.0,Medium
2021-09-30,Wilbarger County,Texas,TX,32.674653804263265,8.19,35.0,30.0,6,7,2,3456.0,52.6,1.0,Medium
2021-09-30,Sharkey County,Mississippi,MS,40.625,8.99,38.0,15.0,9,5,8,952.0,55.50000000000001,0.0,Low
2021-09-30,Crockett County,Tennessee,TN,142.78571428571428,5.74,39.0,49.0,1,7,3,5177.0,48.5,0.0,Low
2021-10-31,Hardeman County,Texas,TX,17.942583732057415,8.19,35.0,30.0,9,1,6,555.0,46.3,0.0,Low
2021-10-31,Atkinson County,Georgia,GA,62.21719457013575,7.91,37.0,35.0,1,2,6,2146.0,39.6,2.0,High
2021-10-31,McMullen County,Texas,TX,178.57142857142858,8.19,35.0,30.0,4,6,7,168.0,46.0,0.0,Low
2021-11-30,Concho County,Texas,TX,158.76625037503752,8.19,35.0,30.0,6,1,6,1079.0,51.4,1.0,Medium
2021-11-30,Grant County,Oklahoma,OK,35.978358881875565,7.13,37.0,44.0,10,9,3,1031.0,42.6,0.0,Low
2021-11-30,Panola County,Texas,TX,134.90725126475547,8.19,35.0,30.0,4,1,2,4585.0,38.2,0.0,Low
2021-11-30,Texas County,Oklahoma,OK,40.849673202614376,7.13,37.0,44.0,1,3,3,5993.0,44.5,1.0,Medium
2021-12-31,El Paso County,Colorado,CO,,8.31,37.0,26.0,9,3,2,185364.0,64.3,2.0,High
2021-12-31,La Salle County,Texas,TX,9.488888888888887,8.19,35.0,30.0,3,5,8,2350.0,64.7,1.0,Medium
2021-12-31,Teller County,Colorado,CO,,8.31,37.0,26.0,1,3,4,4826.0,54.1,2.0,High
2021-12-31,Obion County,Tennessee,TN,84.68149646107177,5.74,39.0,49.0,9,2,5,10763.0,41.6,1.0,Medium
2021-12-31,Esmeralda County,Nevada,NV,138.88888888888889,8.23,38.0,29.0,6,5,3,109.0,41.4,0.0,Low
2021-12-31,Newton County,Texas,TX,115.76704545454544,8.19,35.0,30.0,7,1,1,1365.0,25.2,0.0,Low
2021-12-31,Clay County,Mississippi,MS,13.404825737265416,8.99,38.0,15.0,4,8,7,4962.0,46.6,2.0,High
2021-12-31,Weakley County,Tennessee,TN,65.316,5.74,39.0,49.0,2,6,6,9523.0,38.2,2.0,High
2021-12-31,District of Columbia,Columbia,DC,513.3410672853828,,,,7,10,8,139772.0,,3.0,Critical
2021-12-31,Chickasaw County,Mississippi,MS,7.815126050420166,8.99,38.0,15.0,1,3,4,5587.0,48.4,0.0,Low
2023-12-31,Chippewa County,Wisconsin,WI,131.11588073730468,8.89,40.0,17.0,2,9,4,18681.0,56.89999999999999,1.0,Medium
