period_end,county,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_ppsf,median_list_price,homes_sold,homes_sold_mom,homes_sold_yoy,median_dom,daily_cases,percentage_fully_vaccinated,risk_index,risk,cost_of_living_rank,tax_burden,medianage
2013-03-31,Itawamba County,Mississippi,MS,All Residential,-1,63500.0,,46.081277213352685,,1.0,,,63.0,7310.0,0.342,3.0,Critical,15.0,8.99,38.0
2015-12-31,Clinch County,Georgia,GA,All Residential,-1,80600.0,,51.96647324306899,,1.0,,,244.0,2009.0,0.393,3.0,Critical,35.0,7.91,37.0
2015-12-31,Noxubee County,Mississippi,MS,All Residential,-1,44189.0,,24.549444444444443,,1.0,,,146.0,2706.0,0.545,3.0,Critical,15.0,8.99,38.0
2016-08-31,Amite County,Mississippi,MS,All Residential,-1,58000.0,,27.9383429672447,,1.0,,,70.0,3202.0,0.393,3.0,Critical,15.0,8.99,38.0
2016-12-31,Chaves County,New Mexico,NM,All Residential,-1,185000.0,,177.8846153846154,52400.0,1.0,,,63.0,21547.0,0.399,3.0,Critical,30.0,8.19,38.0
2017-08-31,Foard County,Texas,TX,All Residential,-1,3000000.0,,1250.0,3200000.0,1.0,,,4.0,198.0,0.435,0.0,Low,30.0,8.19,35.0
2017-10-31,Miller County,Georgia,GA,All Residential,-1,197550.0,,54.24407404988899,,2.0,,,139.0,1700.0,0.534,2.0,High,35.0,7.91,37.0
2018-04-30,Issaquena County,Mississippi,MS,All Residential,-1,115000.0,,95.83333333333331,,1.0,,,64.0,260.0,0.396,3.0,Critical,15.0,8.99,38.0
2018-08-31,Jefferson County,Mississippi,MS,All Residential,-1,2230000.0,,536.5736284889317,,1.0,,,249.0,1467.0,0.697,2.0,High,15.0,8.99,38.0
2019-03-31,Baker County,Georgia,GA,All Residential,-1,28539.0,,17.75917859365277,,1.0,,,114.0,531.0,0.507,3.0,Critical,35.0,7.91,37.0
2019-05-31,Echols County,Georgia,GA,All Residential,-1,69900.0,,36.40625,,1.0,,,71.0,927.0,0.307,3.0,Critical,35.0,7.91,37.0
2019-06-30,Randolph County,Georgia,GA,All Residential,-1,87000.0,,50.05753739930955,,1.0,,,176.0,1467.0,0.452,3.0,Critical,35.0,7.91,37.0
2019-07-31,Clarke County,Mississippi,MS,All Residential,-1,565000.0,,209.25925925925927,,1.0,,0.0,527.0,4181.0,0.559,3.0,Critical,15.0,8.99,38.0
2019-11-30,Choctaw County,Mississippi,MS,All Residential,-1,106000.0,,55.78947368421053,,1.0,,,51.0,2101.0,0.356,5.0,Extreme,15.0,8.99,38.0
