date,month,year,median_ppsf,county,state
2022-01-31,1,2022,100.56388404846192,Morgan County,AL
2022-02-28,2,2022,98.7520709991455,Morgan County,AL
2022-03-31,3,2022,99.92306945800782,Morgan County,AL
2022-04-30,4,2022,104.86804512023926,Morgan County,AL
2022-05-31,5,2022,108.5127931213379,Morgan County,AL
2022-06-30,6,2022,109.10862228393555,Morgan County,AL
2022-07-31,7,2022,114.39668312072754,Morgan County,AL
2022-08-31,8,2022,116.41498313903809,Morgan County,AL
2022-09-30,9,2022,118.16295700073242,Morgan County,AL
2022-10-31,10,2022,119.74999443054199,Morgan County,AL
2022-11-30,11,2022,123.27266990661622,Morgan County,AL
2022-12-31,12,2022,123.35061210632324,Morgan County,AL
2023-01-31,1,2023,100.56388404846192,Morgan County,AL
2023-02-28,2,2023,98.7520709991455,Morgan County,AL
2023-03-31,3,2023,99.92306945800782,Morgan County,AL
2023-04-30,4,2023,104.86804512023926,Morgan County,AL
2023-05-31,5,2023,108.5127931213379,Morgan County,AL
2023-06-30,6,2023,109.10862228393555,Morgan County,AL
2023-07-31,7,2023,114.39668312072754,Morgan County,AL
2023-08-31,8,2023,116.41498313903809,Morgan County,AL
2023-09-30,9,2023,118.16295700073242,Morgan County,AL
2023-10-31,10,2023,119.74999443054199,Morgan County,AL
2023-11-30,11,2023,123.27266990661622,Morgan County,AL
2023-12-31,12,2023,123.35061210632324,Morgan County,AL
2022-01-31,1,2022,107.50978589188058,Tulsa County,OK
2022-02-28,2,2022,111.15338208603262,Tulsa County,OK
2022-03-31,3,2022,113.5374206863658,Tulsa County,OK
2022-04-30,4,2022,116.035374382402,Tulsa County,OK
2022-05-31,5,2022,115.77243080483126,Tulsa County,OK
2022-06-30,6,2022,120.43004731636795,Tulsa County,OK
2022-07-31,7,2022,121.12603609710861,Tulsa County,OK
2022-08-31,8,2022,123.44078671470798,Tulsa County,OK
2022-09-30,9,2022,124.0757483507655,Tulsa County,OK
2022-10-31,10,2022,124.08312802004073,Tulsa County,OK
2022-11-30,11,2022,123.91941134052382,Tulsa County,OK
2022-12-31,12,2022,125.09867436019053,Tulsa County,OK
2023-01-31,1,2023,107.50978589188058,Tulsa County,OK
2023-02-28,2,2023,111.15338208603262,Tulsa County,OK
2023-03-31,3,2023,113.5374206863658,Tulsa County,OK
2023-04-30,4,2023,116.035374382402,Tulsa County,OK
2023-05-31,5,2023,115.77243080483126,Tulsa County,OK
2023-06-30,6,2023,120.43004731636795,Tulsa County,OK
2023-07-31,7,2023,121.12603609710861,Tulsa County,OK
2023-08-31,8,2023,123.44078671470798,Tulsa County,OK
2023-09-30,9,2023,124.0757483507655,Tulsa County,OK
2023-10-31,10,2023,124.08312802004073,Tulsa County,OK
2023-11-30,11,2023,123.91941134052382,Tulsa County,OK
2023-12-31,12,2023,125.09867436019053,Tulsa County,OK
2022-01-31,1,2022,307.3515625,Hood River County,OR
2022-02-28,2,2022,309.9609375,Hood River County,OR
2022-03-31,3,2022,312.5703125,Hood River County,OR
2022-04-30,4,2022,315.17578125,Hood River County,OR
2022-05-31,5,2022,317.78515625,Hood River County,OR
2022-06-30,6,2022,320.39453125,Hood River County,OR
2022-07-31,7,2022,323.00390625,Hood River County,OR
2022-08-31,8,2022,325.61328125,Hood River County,OR
2022-09-30,9,2022,328.22265625,Hood River County,OR
2022-10-31,10,2022,330.83203125,Hood River County,OR
2022-11-30,11,2022,333.4375,Hood River County,OR
2022-12-31,12,2022,336.046875,Hood River County,OR
2023-01-31,1,2023,324.01953125,Hood River County,OR
2023-02-28,2,2023,326.62890625,Hood River County,OR
2023-03-31,3,2023,329.23828125,Hood River County,OR
2023-04-30,4,2023,331.84375,Hood River County,OR
2023-05-31,5,2023,334.453125,Hood River County,OR
2023-06-30,6,2023,337.0625,Hood River County,OR
2023-07-31,7,2023,339.671875,Hood River County,OR
2023-08-31,8,2023,342.28125,Hood River County,OR
2023-09-30,9,2023,344.890625,Hood River County,OR
2023-10-31,10,2023,347.5,Hood River County,OR
2023-11-30,11,2023,350.10546875,Hood River County,OR
2023-12-31,12,2023,352.71484375,Hood River County,OR
2022-01-31,1,2022,108.82852977238144,Lamar County,MS
2022-02-28,2,2022,108.82852977238144,Lamar County,MS
2022-03-31,3,2022,108.82852977238144,Lamar County,MS
2022-04-30,4,2022,108.82852977238144,Lamar County,MS
2022-05-31,5,2022,108.82852977238144,Lamar County,MS
2022-06-30,6,2022,108.82852977238144,Lamar County,MS
2022-07-31,7,2022,108.82852977238144,Lamar County,MS
2022-08-31,8,2022,108.82852977238144,Lamar County,MS
2022-09-30,9,2022,108.82852977238144,Lamar County,MS
2022-10-31,10,2022,108.82852977238144,Lamar County,MS
2022-11-30,11,2022,108.82852977238144,Lamar County,MS
2022-12-31,12,2022,108.82852977238144,Lamar County,MS
2023-01-31,1,2023,113.56010057387903,Lamar County,MS
2023-02-28,2,2023,113.56010057387903,Lamar County,MS
2023-03-31,3,2023,113.56010057387903,Lamar County,MS
